Date,Open,High,Low,Close,Volume,daily_compound,returns,log_returns,volatility_5d,volatility_10d,hl_ratio,co_ratio,lag1_return,lag2_return,lag3_return,lag1_direction,rsi_14,rsi_7,macd,macd_sig,macd_hist,bb_upper,bb_lower,bb_width,volume_ma5,volume_ma10,volume_ratio,momentum_5d,momentum_10d,momentum_20d,overnight_gap,close_ma10,close_ma20,price_vs_ma10,price_vs_ma20,sentiment_ma3,sentiment_ma7,sentiment_ma14,next_close,next_direction
2020-01-29,580.2871308654205,588.1960236793792,578.8426650097595,585.283447265625,13788350,0.0,0.010341655840769182,0.01028854676139162,0.014293782223984967,0.011294967026284148,0.01598090414707188,0.008610076175139609,0.008242704097301656,-0.02518994146192044,-0.00024091226548839106,1.0,36.51868859619977,36.83469871544913,-5.789705012550371,-3.605919177658098,-2.183785834892273,618.6250284284773,574.5984273820696,0.07379439422181554,13885947.2,14903051.4,0.9929715129551984,-0.004029670707000665,-0.03768753197494312,-0.033435060381556525,0.0017167979048911812,590.4479736328125,596.6117279052735,-0.008746793278857745,-0.018987693519737947,0.13396666666666665,0.21748571428571425,0.25445,580.6424560546875,0
2020-01-30,586.7516935910343,586.7516935910343,576.4511569765132,580.6424560546875,12111984,0.0,-0.007929476277895198,-0.007961081762414361,0.014393522342492982,0.011120468475743665,0.017739895708816275,-0.010411964043865043,0.010341655840769182,0.008242704097301656,-0.02518994146192044,1.0,28.27006889287054,37.22077622781621,-6.122258265934761,-4.109186995313431,-2.01307127062133,617.4275734245789,572.9212180793274,0.07477867943061278,14006560.0,15399209.8,0.8647365234575799,-0.01510199999627293,-0.04783892649692756,-0.047172886925392676,0.0025086072949247772,587.5306823730468,595.1743957519532,-0.011724028250978402,-0.024416271602213935,0.06698333333333333,0.1621857142857143,0.24243571428571428,580.7608032226562,1
2020-01-31,583.1997343998446,586.2070634943107,577.8955736075096,580.7608032226562,11178268,0.0386,0.0002038210722186129,0.0002038003035258896,0.014415845752601601,0.011186026043812096,0.014311382312098846,-0.00418198266104869,-0.007929476277895198,0.010341655840769182,0.008242704097301656,0.0,26.551380967625363,39.35618781038734,-6.303595561985617,-4.548068708647868,-1.7555268533377486,617.1629614745516,571.1920312012296,0.07736901945403193,13875862.4,14825155.2,0.8055908654729813,-0.014663877472340436,-0.04056636439296912,-0.033191324109930975,0.0044042221137826085,585.0751342773438,594.1774963378906,-0.007373977805629428,-0.022580278112219965,0.012866666666666667,0.1104142857142857,0.19656428571428572,564.8955688476562,0
2020-02-03,566.8846145462204,567.3344998460584,557.744346592457,564.8955688476562,13077010,0.34,-0.02731801851461635,-0.02769809350430375,0.015247151266419939,0.012731376879874367,0.01697686047204198,-0.0035087311377401654,0.0002038210722186129,-0.007929476277895198,0.010341655840769182,1.0,19.262416971978624,23.403109157344772,-7.639435837387509,-5.166342134395796,-2.4730937029917133,619.3913359955226,566.6833344146336,0.08887804941092481,12713554.0,13915011.2,1.0285880722259095,-0.016814933642901653,-0.04948599166959278,-0.038800867018795704,-0.02389312191772676,582.1341552734375,593.0373352050781,-0.02961273835200595,-0.04745361663913694,0.1262,0.15699285714285713,0.22085000000000002,582.4183349609375,1
2020-02-04,567.3582188812532,584.4073807174176,567.3582188812532,582.4183349609375,20897704,0.34,0.031019478784417354,0.030548097954718485,0.021623876385635434,0.016958263371379633,0.029273051366605626,0.026544281158701957,-0.02731801851461635,0.0002038210722186129,-0.007929476277895198,0.0,35.598997602525785,44.51876280474118,-7.2011477496782845,-5.573303257452293,-1.6278444922259911,619.004816845103,565.6112048834125,0.09014501067404614,14210663.2,14506301.2,1.4705650050167962,0.005395774791831842,-0.01169272057301951,-0.024432778906175012,0.004359478405221905,581.4450927734375,592.3080108642578,0.0016738333498653724,-0.016696846441411894,0.23953333333333338,0.16007142857142856,0.21642857142857141,589.4511108398438,1
2020-02-05,584.8336294451086,591.0376185260882,581.2343734585951,589.4511108398438,18020682,0.34,0.012075127887891668,0.01200280515321208,0.02181883100627982,0.01743279946030686,0.01663114190000513,0.007895375987725283,0.031019478784417354,-0.02731801851461635,0.0002038210722186129,1.0,39.27678874398293,63.32073477668,-6.214676126521226,-5.70157783126608,-0.5130982952551459,618.6916466525905,565.3252844997531,0.09014459295086193,15057129.6,14471538.4,1.1968205414131523,0.007120761049521418,0.0030623960203080003,-0.010061274808773724,0.004147009699365158,581.6250549316406,592.0084655761718,0.013455499968139328,-0.004319794200812188,0.34,0.17993571428571428,0.21200714285714287,587.1542358398438,0
2020-02-06,589.4511253356094,591.3691214293652,585.9228611888204,587.1542358398438,11827550,0.34,-0.003896633593119314,-0.003904245249456811,0.021449432875901522,0.017452001535688575,0.009275689262046577,-0.003896658089265476,0.012075127887891668,0.031019478784417354,-0.02731801851461635,1.0,40.209338089094175,57.35174089012228,-5.554203474457836,-5.672102959904431,0.11789948544659534,617.5864669143643,564.9339310348544,0.08905137868372251,15000242.8,14503401.4,0.788490570299302,0.011214784102082431,-0.00405658156365829,-0.024854419005452266,2.4591972724630622e-08,581.3859008789062,591.2601989746094,0.00992169736506554,-0.0069444267379839,0.34,0.1998,0.23629285714285714,588.290771484375,1
2020-02-07,590.0904283388669,590.5640161625739,583.270752115284,588.290771484375,6815448,0.5267,0.0019356679644924046,0.0019337969732808001,0.021418725404336283,0.017465961167205408,0.012397379664629993,-0.0030497984174358175,-0.003896633593119314,0.012075127887891668,0.031019478784417354,0.0,46.37139921784297,53.0930941480194,-4.882779567728107,-5.514238281469167,0.6314587137410594,615.5149013708996,565.0874667931629,0.08542661938946827,14127678.8,14001770.6,0.48241810254066647,0.012965696410526917,-0.001888308445321063,-0.031574010384609164,0.0050007175624362625,581.2746032714844,590.3011840820312,0.012070316117892554,-0.0034057404117904255,0.4022333333333333,0.27504285714285714,0.24626428571428574,587.3909301757812,0
2020-02-10,588.6458915087595,588.6458915087595,580.6423045001527,587.3909301757812,9219834,0.0,-0.00152958596702657,-0.0015307569779020322,0.01427927465700917,0.015128352185608459,0.013625656436696562,-0.002131946134477682,0.0019356679644924046,-0.003896633593119314,0.012075127887891668,1.0,48.78268165556925,57.51963100555139,-4.372873197411991,-5.285965264657732,0.9130920672457412,612.8560138904871,565.582053736466,0.08023155641808091,13356243.6,13034898.8,0.6903014257691437,0.03982215929576838,0.022337618686791183,-0.0355366164475871,0.0006036471105750649,582.5580261230468,589.2190338134766,0.00829600457965829,-0.003102587548748037,0.2889,0.27504285714285714,0.2186142857142857,587.5330200195312,1
2020-02-11,588.8117417811588,594.3526959818439,586.3254058019519,587.5330200195312,11613520,0.138475,0.0002418999621043305,0.0002418707090259481,0.006155405948132583,0.01499093698469759,0.01366270474402472,-0.002171698814564148,-0.00152958596702657,0.0019356679644924046,-0.003896633593119314,0.0,49.9233363263012,57.54209614662219,-3.912205789287782,-5.011213369583743,1.099007580295961,609.4291426938943,566.6930741029806,0.07267283617394198,11499406.8,12855035.0,1.0099233988313205,0.00878180639511772,0.014224965836523218,-0.03792177756989357,0.002418851794242729,583.3820678710938,588.0611083984375,0.007115323519429673,-0.0008980161610149251,0.22172499999999998,0.28931071428571425,0.19986250000000003,591.5111694335938,1
