Date,Open,High,Low,Close,Volume
2020-01-01,604.345388393747,606.1923924015477,601.7406554576465,605.5293579101562,3673698
2020-01-02,605.7187936863252,609.981083868637,605.7187936863252,609.3890991210938,6137166
2020-01-03,607.2342686142049,608.5603376104458,598.4255468849254,600.6987915039062,10855550
2020-01-06,596.720662743602,597.5731439576414,585.3545548818191,587.6987915039062,10890186
2020-01-07,596.1997455707353,602.143238298382,593.0503748607391,597.0048217773438,14724494
2020-01-08,590.5403361902679,597.73890607202,587.2726263307592,595.4420166015625,11332110
2020-01-09,599.0885942510204,604.2033658480826,598.1887658278872,602.1195678710938,9546316
2020-01-10,608.1341038414974,609.4601728526172,603.871813491343,607.4710693359375,9214580
2020-01-13,607.4710726189669,614.0066076489296,604.2980573544421,609.033935546875,7451568
2020-01-14,610.4547343969623,612.1359943771557,605.0084741599063,610.6915283203125,7886290
2020-01-15,609.2234256414325,609.9574521269482,603.3982719253166,608.2052001953125,11787448
2020-01-16,607.163288419645,611.4018762888768,605.8845666176381,609.8153686523438,7150400
2020-01-17,607.0211887708494,608.513001967246,602.3563603023184,605.3162841796875,16918814
2020-01-20,617.9610470531414,617.9610470531414,593.1687365718038,594.3053588867188,22178450
2020-01-21,591.9847425595085,591.9847425595085,586.4911357107582,589.3089599609375,14984804
2020-01-22,591.0613565639217,594.3527690930574,584.5968706605863,587.6514892578125,18368310
2020-01-23,587.248887040562,590.4929519914465,582.9865967313965,589.5457763671875,11508920
2020-01-24,590.0904267767455,593.8791293563715,586.8226592396154,589.4037475585938,11831756
2020-01-27,584.8809389292223,584.8809389292223,573.8700224675994,574.5567016601562,18888552
2020-01-28,577.2088623646235,581.4711527758164,574.5804268199824,579.2926025390625,13412158
2020-01-29,580.2871308654205,588.1960236793792,578.8426650097595,585.283447265625,13788350
2020-01-30,586.7516935910343,586.7516935910343,576.4511569765132,580.6424560546875,12111984
2020-01-31,583.1997343998446,586.2070634943107,577.8955736075096,580.7608032226562,11178268
2020-02-03,566.8846145462204,567.3344998460584,557.744346592457,564.8955688476562,13077010
2020-02-04,567.3582188812532,584.4073807174176,567.3582188812532,582.4183349609375,20897704
2020-02-05,584.8336294451086,591.0376185260882,581.2343734585951,589.4511108398438,18020682
2020-02-06,589.4511253356094,591.3691214293652,585.9228611888204,587.1542358398438,11827550
2020-02-07,590.0904283388669,590.5640161625739,583.270752115284,588.290771484375,6815448
2020-02-10,588.6458915087595,588.6458915087595,580.6423045001527,587.3909301757812,9219834
2020-02-11,588.8117417811588,594.3526959818439,586.3254058019519,587.5330200195312,11613520
2020-02-12,589.7115126471815,593.3581734383829,589.1669329193304,591.5111694335938,6297930
2020-02-13,596.673238919678,596.673238919678,584.2178575291418,587.911865234375,9112140
2020-02-14,588.7643573113077,591.2270486728398,575.4092038524705,577.4692993164062,14688858
2020-02-17,580.1450820402947,583.9337846168844,575.1487073930117,576.4274291992188,10152690
2020-02-18,576.3090515064869,577.0667804849288,569.9629629163823,574.5804443359375,10529116
2020-02-19,578.9611110497709,582.513019706518,574.8882673522369,581.1869506835938,10012268
2020-02-20,582.512980564733,582.512980564733,574.9829231562064,576.4036865234375,11123414
2020-02-24,572.5439293050475,575.2907615812694,568.3053417555244,573.0175170898438,16568084
2020-02-25,570.1997616562753,572.5677008658114,567.3582346048321,568.447509765625,13886680
2020-02-26,567.1214775704135,570.5312871295188,561.5094728410021,567.9502563476562,13814786
2020-02-27,565.9374182644348,569.489326747266,559.3071890964833,568.0448608398438,20655098
2020-02-28,556.7024777583055,561.201562010712,554.1450919894718,557.720703125,24313056
2020-03-02,568.4001243927462,568.8500675447305,552.2744925046535,558.6442260742188,14664898
2020-03-03,556.4657366475143,561.3673594464186,553.1506216206781,559.6861572265625,22369550
2020-03-04,558.0521380643305,558.833569448218,536.6222914393035,544.081298828125,34288870
2020-03-05,546.0467512820113,551.7298050681208,541.1924761730429,545.2653198242188,19549708
2020-03-06,532.7863223170319,540.3163805679825,521.4202141076019,537.474853515625,23053566
2020-03-09,525.6824113807934,529.6605601102005,504.37096227076125,524.4037475585938,34420590
2020-03-11,523.3145209195276,530.4183379455845,517.1578794969449,527.4821166992188,35538240
2020-03-12,509.10687137657914,511.4748103132144,475.2216709744296,483.6752014160156,59000770
2020-03-13,464.13972221452224,512.1615082677355,435.32191586076743,506.6442565917969,66342364
2020-03-16,490.1634119366812,491.1105876119212,471.219898431882,473.3510437011719,31986322
2020-03-17,477.37652201378086,478.3236976526971,452.1342970177646,461.79547119140625,42676838
2020-03-18,466.4840180328291,470.2727207173597,409.6534777648702,415.2891845703125,61181406
2020-03-19,401.12886944187676,435.67710547774163,376.502303667405,424.1215515136719,67220048
2020-03-20,414.38934181029646,433.14340788887984,390.4968305499615,418.10699462890625,88637464
2020-03-23,376.31286067374276,397.2217739590976,362.294673119177,365.39666748046875,50276954
2020-03-24,376.62067091246723,383.6060904609852,349.8629621333985,363.5733337402344,61057272
2020-03-25,364.87574495834104,410.81376390855485,357.67720424895873,405.7463684082031,47228042
2020-03-26,412.0687177171039,444.08326913612314,398.2873248177175,426.74993896484375,57043156
2020-03-27,447.51676062296764,468.2125515636953,413.01587488426924,428.3364562988281,55235936
2020-03-30,416.75727302870723,420.0723877005265,392.13070689519276,393.85931396484375,39268444
2020-03-31,404.3492849888451,413.7263182768991,396.8666030278932,408.18536376953125,35211092
2020-04-01,409.1088517184622,409.1088517184622,388.3420361059741,392.91217041015625,29103504
2020-04-03,399.2345085366726,399.70809632853104,383.60611140534377,385.4294128417969,34996280
2020-04-07,413.9157401505629,429.68620822188024,400.3474380216403,424.38201904296875,60412638
2020-04-08,416.7336424013843,447.5405268551247,410.1744332094615,420.9722595214844,56219352
2020-04-09,432.3856797751441,440.86291331760424,421.4931599122434,438.0924072265625,44457146
2020-04-13,442.33100497402285,448.3455758120512,419.6935139266889,424.0268249511719,34158056
2020-04-15,440.6734653560616,440.6734653560616,399.23453121457277,408.8483581542969,57978752
2020-04-16,409.65343513282806,421.8246470213436,405.5095420028717,416.63885498046875,53854396
2020-04-17,433.33283252946575,435.7007715050366,420.1907712150475,431.1069641113281,55883462
2020-04-20,450.38205935212875,455.0942643872303,442.8046535165514,447.469482421875,66232986
2020-04-21,438.06874645123276,442.33103695724475,430.0177532732101,436.48223876953125,33178006
2020-04-22,435.29823900880433,441.85741849282465,429.6862062216211,439.77362060546875,38289354
